SCHEDULE_NUMBER,CERTIFICATE_NUMBER,ISSUE_DATE,SUBTAX,REDEMPTION_DATE,TAX_YEAR,PRINCIPAL,INTEREST,PREMIUMBIDFEE,TREASURERDEEDFEE
653721,72859,11/14/07,N,06/16/09,2006,637.09,159.27,0,0
1506129,72860,11/14/07,N,05/21/08,2006,2091.58,183.01,0,0
27600,72861,11/14/07,N,11/25/08,2006,732.01,118.95,0,0
1631109,72862,11/14/07,N,03/12/08,2006,2050.8,128.18,0,0
1631112,72863,11/14/07,N,03/25/08,2006,1536.2,96.01,0,0
1411861,72864,11/14/07,N,04/28/08,2006,2421.9,181.64,0,0
1595325,72865,11/14/07,N,02/22/08,2006,666.06,33.3,0,0
1604853,72866,11/14/07,N,10/14/08,2006,1362.17,204.33,0,0
238082,72867,11/14/07,N,07/27/10,2006,1047.01,431.89,0,0
238082,72867,10/31/08,Y,07/27/10,2007,1024.02,281.61,0,0
238082,72867,08/13/09,Y,07/27/10,2008,992.34,148.85,0,0
1600306,72868,11/14/07,N,05/20/08,2006,1900,166.25,0,0
1594504,72869,11/14/07,N,06/17/08,2006,2086.53,208.65,325,0
1594484,72870,11/14/07,N,06/17/08,2006,2086.53,208.65,0,0
1594483,72871,11/14/07,N,06/17/08,2006,2086.53,208.65,0,0
1594507,72872,11/14/07,N,06/17/08,2006,2086.53,208.65,325,0
1594506,72873,11/14/07,N,06/17/08,2006,2086.53,208.65,0,0
1594505,72874,11/14/07,N,06/17/08,2006,2086.53,208.65,0,0
1594510,72875,11/14/07,N,06/17/08,2006,2086.53,208.65,375,0
1594509,72876,11/14/07,N,06/17/08,2006,2086.53,208.65,0,0
1594508,72877,11/14/07,N,06/17/08,2006,2086.53,208.65,0,0
1594513,72878,11/14/07,N,06/17/08,2006,2086.53,208.65,225,0
1594512,72879,11/14/07,N,06/17/08,2006,2086.53,208.65,0,0
1297520,72880,11/14/07,N,10/30/08,2006,1986.57,297.99,0,0
1297520,72880,08/11/08,Y,10/30/08,2007,1905.28,71.45,0,0
1439081,72881,11/14/07,N,11/26/08,2006,3399.36,552.4,200,0
1439081,72881,08/27/08,Y,11/26/08,2007,3110.77,155.54,0,0
1621956,72882,11/14/07,N,01/23/08,2006,1365.51,51.21,0,0
480207,72883,11/14/07,N,07/30/09,2006,1216.38,319.3,0,0
480207,72883,08/21/08,Y,07/30/09,2007,1209.92,181.49,0,0
583855,72884,11/14/07,N,04/21/08,2006,200.82,15.06,0,0
583936,72885,11/14/07,N,01/14/08,2006,1125.39,42.2,0,0
583944,72886,11/14/07,N,04/21/08,2006,831.61,62.37,0,0
571679,72887,11/14/07,N,12/17/07,2006,3403.78,85.09,200,0
788899,72888,11/14/07,N,02/05/13,2006,1164.49,931.59,0,0
788899,72888,08/19/08,Y,02/05/13,2007,1463.25,1005.98,0,0
788899,72888,08/20/09,Y,02/05/13,2008,1947.11,1046.57,0,0
788899,72888,08/19/10,Y,02/05/13,2009,1951.66,756.27,0,0
788899,72888,08/22/11,Y,02/05/13,2010,2024.75,480.88,0,0
788899,72888,08/24/12,Y,02/05/13,2011,2051.84,179.54,0,0
1641567,72889,11/14/07,N,10/29/08,2006,3089.09,463.36,175,0
1641567,72889,08/06/08,Y,10/29/08,2007,3098.45,116.19,0,0
1542379,72890,11/14/07,N,05/09/08,2006,4588.24,401.47,325,0
1603873,72891,11/14/07,N,11/03/10,2006,4499.51,2081.02,250,0
1603874,72892,11/14/07,N,01/26/11,2006,4499.51,2193.51,275,0
1603874,72892,08/27/08,Y,01/26/11,2007,5366.72,2012.52,0,0
1603874,72892,08/26/09,Y,01/26/11,2008,5352.5,1204.31,0,0
1603874,72892,08/26/10,Y,01/26/11,2009,5305.48,397.91,0,350
1046438,72893,11/14/07,N,08/07/08,2006,87.95,10.99,0,0
1046420,72894,11/14/07,N,08/07/08,2006,87.95,10.99,0,0
1046411,72895,11/14/07,N,08/07/08,2006,87.95,10.99,0,0
1046403,72896,11/14/07,N,08/07/08,2006,87.95,10.99,0,0
1046381,72897,11/14/07,N,08/07/08,2006,87.95,10.99,0,0
1046373,72898,11/14/07,N,08/07/08,2006,87.95,10.99,0,0
1046365,72899,11/14/07,N,08/07/08,2006,87.95,10.99,0,0
1046357,72900,11/14/07,N,08/07/08,2006,87.95,10.99,0,0
1046349,72901,11/14/07,N,08/07/08,2006,87.95,10.99,0,0
1046322,72902,11/14/07,N,08/07/08,2006,87.95,10.99,0,0
1046209,72903,11/14/07,N,08/07/08,2006,25.91,3.24,0,0
1046195,72904,11/14/07,N,12/30/10,2006,25.91,12.31,0,0
1046195,72904,08/15/08,Y,12/30/10,2007,16.3,5.91,0,0
1046195,72904,09/28/09,Y,12/30/10,2008,16.35,3.27,0,0
1046195,72904,08/06/10,Y,12/30/10,2009,16.36,1.02,0,0
